record,date,DATE2,WEIGHT,QS1,HIDWARD,neighbourhood,gender,QS3,age,concerned (0.5),Q1r2,informed (0.2),Q3,Q3_R1,Q3_R2,Q3_R3,Q3_R4,Q3_R5,Q4,Q5r1,Q5r2,Q5r3,Q5r5,toronto_action (0.1),Q7,dont_know_how,reduce_emissions,health_threat (0.2),Q8r4,Q8r5,cant_make_difference,Q9r1,Q9r2,Q9r3,Q9r4,Q9r5,Q9r6,Q9r7,energy_efficient,reduce_consumption,drive_less,electric_vehicle,less_meat,reduce_waste,green_products,walk,waste_bins,Q11_Lr1r1,Q11_Lr1r2,Q11_Lr1r3,Q11_Lr1r4,Q11_Lr1r5,Q11_Lr1r6,Q11_Lr1r7,Q11_Lr1r8,Q11_Lr2r1,Q11_Lr2r2,Q11_Lr2r3,Q11_Lr2r4,Q11_Lr2r5,Q11_Lr2r6,Q11_Lr2r7,Q11_Lr2r8,Q11_Lr3r1,Q11_Lr3r2,Q11_Lr3r3,Q11_Lr3r4,Q11_Lr3r5,Q11_Lr3r6,Q11_Lr3r7,Q11_Lr3r8,Q11_Lr4r1,Q11_Lr4r2,Q11_Lr4r3,Q11_Lr4r4,Q11_Lr4r5,Q11_Lr4r6,Q11_Lr4r7,Q11_Lr4r8,Q11_Lr5r1,Q11_Lr5r2,Q11_Lr5r3,Q11_Lr5r4,Q11_Lr5r5,Q11_Lr5r6,Q11_Lr5r7,Q11_Lr5r8,Q11_Lr6r1,Q11_Lr6r2,Q11_Lr6r3,Q11_Lr6r4,Q11_Lr6r5,Q11_Lr6r6,Q11_Lr6r7,Q11_Lr6r8,Q11_Lr7r1,Q11_Lr7r2,Q11_Lr7r3,Q11_Lr7r4,Q11_Lr7r5,Q11_Lr7r6,Q11_Lr7r7,Q11_Lr7r8,Q11_Lr8r1,Q11_Lr8r2,Q11_Lr8r3,Q11_Lr8r4,Q11_Lr8r5,Q11_Lr8r6,Q11_Lr8r7,Q11_Lr8r8,Q11_Lr9r1,Q11_Lr9r2,Q11_Lr9r3,Q11_Lr9r4,Q11_Lr9r5,Q11_Lr9r6,Q11_Lr9r7,Q11_Lr9r8,Q12r1,Q12r2,Q12r3,Q12r4,Q12r5,Q12r6,Q12_R1,Q12r6oe,Q13r1,Q13r2,Q13r3,Q13r4,Q13r5,Q13r6,Q13r7,Q13r8,Q13r9,Q13r10,Q13r11,Q13_R1,Q13r10oe,QD1,QD1_R1,D1r5oe,care,care_binary,takes_action,takes_action_binary,home_ownership,QD3r1,noanswerD3_r99,children,noanswerD4_r99,education,income,vdecLang
2,10/10/2018 17:11,10,0.677169000000,M1R,Ward 40,Scarborough Centre,Man,1985,33,50,Very concerned,50,It seems that summers have been getting a little bit warmer and longer in recent years. There also seems to be some more flood prone areas in recent years.,Extreme temperatures/sudden temperature fluctuations/too hot summers/too cold winters,Storms/floods/unusual rainfalls,Climate changes/abnormal weather patterns/erratic weather/extended seasons,#NULL!,#NULL!,Yes,Municipal (City),Provincial,Federal,NO TO: None of the above,0,No,50,100,100,100,100,100,A significant impact,A significant impact,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,A significant impact,Somewhat of an impact,60,60,40,60,40,80,60,80,80,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Somewhat motivating,Somewhat motivating,Verymotivating,Verymotivating,#NULL!,#NULL!,,Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,NO TO: City of Toronto e-newsletters / email,NO TO: Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,Single-family detached house,#NULL!,,55,0,68.7,0,Rent,#NULL!,"How many people, including yourself, live in your household?: Prefer not to say",#NULL!,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Some university,"Under $40,000",English (USA)
5,10/10/2018 17:17,10,0.869644000000,M8X,Ward 4,Etobicoke-Lakeshore,Man,1948,70,75,Very concerned,75,Weather patterns have changed— more violent weather,Climate changes/abnormal weather patterns/erratic weather/extended seasons,#NULL!,#NULL!,#NULL!,#NULL!,Yes,NO TO: Municipal (City),NO TO: Provincial,Federal,NO TO: None of the above,100,No,75,100,75,75,100,100,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,A significant impact,Somewhat of an impact,Not much of an impact,Somewhat of an impact,40,100,60,80,60,80,80,100,100,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Somewhat motivating,Somewhat motivating,Somewhat motivating,Not very motivating,Not very motivating,Verymotivating,Other,Thinking of grandchildren,NO TO: Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,City of Toronto e-newsletters / email,Councillor communications,"NO TO: Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,"Multi-unit residence (apartment, condominium building)",#NULL!,,77.5,1,82.25,1,Rent,2,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Completed undergraduate degree,"$100,001 to $150,000",English (USA)
7,10/10/2018 17:17,10,0.641285000000,M3h,Ward 10,York Centre,Man,1959,59,100,Very concerned,100,Haven’t,Nothing/haven't seen any impact so far/a typical weather system,#NULL!,#NULL!,#NULL!,#NULL!,No,Municipal (City),Provincial,Federal,NO TO: None of the above,0,No,100,25,100,100,100,50,Not much of an impact,No impact,No impact,Not much of an impact,No impact,Somewhat of an impact,No impact,60,80,20,60,40,60,60,40,100,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Not at all motivating,Not at all motivating,Not at all motivating,Not at all motivating,Not at all motivating,#NULL!,#NULL!,,NO TO: Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,NO TO: City of Toronto e-newsletters / email,NO TO: Councillor communications,"NO TO: Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),Not interested in receiving information,#NULL!,,Single-family detached house,#NULL!,,90,1,60.65,0,Own,2,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Post graduate/professional school,"More than $150,000",English (USA)
10,10/10/2018 17:18,10,0.897943000000,M5V,Ward 20,Spadina-Fort York,Woman,1987,31,75,Very concerned,50,Temperature is constantly up and down,Extreme temperatures/sudden temperature fluctuations/too hot summers/too cold winters,#NULL!,#NULL!,#NULL!,#NULL!,Don’t know,NO TO: Municipal (City),NO TO: Provincial,Federal,NO TO: None of the above,100,No,50,75,100,100,75,50,A significant impact,Somewhat of an impact,A significant impact,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,80,80,100,20,80,60,60,100,80,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Somewhat motivating,Somewhat motivating,Somewhat motivating,Not very motivating,Not very motivating,#NULL!,#NULL!,,Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,NO TO: Facebook,Instagram,NO TO: City of Toronto e-newsletters / email,NO TO: Councillor communications,"NO TO: Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,"Multi-unit residence (apartment, condominium building)",#NULL!,,77.5,1,66.45,0,Rent,2,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Post graduate/professional school,"$100,001 to $150,000",English (USA)
11,10/10/2018 17:27,10,0.677169000000,M1V,Ward 44,Scarborough North,Man,1975,43,100,Very concerned,75,Floods and heavy winds,Storms/floods/unusual rainfalls,#NULL!,#NULL!,#NULL!,#NULL!,Don’t know,NO TO: Municipal (City),Provincial,Federal,NO TO: None of the above,67,No,75,75,75,100,100,75,Somewhat of an impact,No impact,Somewhat of an impact,Somewhat of an impact,Not much of an impact,No impact,No impact,60,60,80,20,60,60,80,100,80,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Somewhat motivating,Verymotivating,Not very motivating,Somewhat motivating,Somewhat motivating,#NULL!,#NULL!,,Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,NO TO: City of Toronto e-newsletters / email,NO TO: Councillor communications,"NO TO: Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,"Multi-unit residence (apartment, condominium building)",#NULL!,,86.7,1,69.75,0,Own,#NULL!,"How many people, including yourself, live in your household?: Prefer not to say",#NULL!,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,"Completed community college, vocational, trade school",Prefer not to answer,English (USA)
12,10/10/2018 17:30,10,0.704065000000,m1w,Ward 43,Scarborough-Agincourt,Man,1958,60,75,Extremely concerned,75,"too much rain,one bad wind storm,lot more hot days in 2018 etc.",Storms/floods/unusual rainfalls,Extreme temperatures/sudden temperature fluctuations/too hot summers/too cold winters,#NULL!,#NULL!,#NULL!,Yes,NO TO: Municipal (City),NO TO: Provincial,Federal,NO TO: None of the above,100,Yes,75,100,100,75,100,75,A significant impact,Somewhat of an impact,Somewhat of an impact,A significant impact,A significant impact,Somewhat of an impact,Somewhat of an impact,100,100,60,80,80,80,80,80,100,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Somewhat motivating,Verymotivating,Verymotivating,Verymotivating,#NULL!,#NULL!,,NO TO: Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,City of Toronto e-newsletters / email,NO TO: Councillor communications,"NO TO: Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,Single-family detached house,#NULL!,,82.5,1,82.7,1,Own,2,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Completed undergraduate degree,"More than $150,000",English (USA)
13,10/10/2018 17:33,10,0.869644000000,M9w,Ward 2,Etobicoke North,Man,1950,68,75,Very concerned,75,Record temperature,Extreme temperatures/sudden temperature fluctuations/too hot summers/too cold winters,#NULL!,#NULL!,#NULL!,#NULL!,Yes,NO TO: Municipal (City),NO TO: Provincial,NO TO: Federal,None of the above,100,No,75,75,75,75,100,75,A significant impact,Not much of an impact,A significant impact,Not much of an impact,Somewhat of an impact,Not much of an impact,Somewhat of an impact,100,100,80,60,40,80,80,80,100,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,#NULL!,#NULL!,,Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,City of Toronto e-newsletters / email,NO TO: Councillor communications,"NO TO: Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,Single-family detached house,#NULL!,,77.5,1,78.15,1,Own,2,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,"Completed community college, vocational, trade school","$40,001 to $60,000",English (USA)
14,10/10/2018 17:37,10,0.897943000000,M5c,Ward 22,Toronto Centre,Woman,1984,34,75,Very concerned,75,Hotter summers being drier  Cold winters causing froze quakes and other unusual activity   Pollution and smog,Extreme temperatures/sudden temperature fluctuations/too hot summers/too cold winters,Air pollution/smog/poor air quality,#NULL!,#NULL!,#NULL!,Yes,NO TO: Municipal (City),NO TO: Provincial,NO TO: Federal,None of the above,100,No,50,100,100,50,75,75,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,No impact,Somewhat of an impact,40,80,40,40,40,40,40,60,80,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,I’m not interested in making this change,NO TO: Other,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,Verymotivating,#NULL!,#NULL!,,NO TO: Toronto.ca website,City of Toronto events,Twitter,Facebook,Instagram,City of Toronto e-newsletters / email,NO TO: Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","Brochures, pamphlets",Other (please specify),NO TO: Not interested in receiving information,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)",Newspaper,"Multi-unit residence (apartment, condominium building)",#NULL!,,82.5,1,57.95,0,Own,2,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",0,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Post graduate/professional school,"More than $150,000",English (USA)
15,10/10/2018 17:36,10,0.795624000000,m4s,Ward 26,Toronto-St. Paul's,Man,1980,38,75,Very concerned,75,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Don’t know,NO TO: Municipal (City),NO TO: Provincial,Federal,NO TO: None of the above,100,Don’t know,50,75,100,100,100,50,Somewhat of an impact,Not much of an impact,No impact,Somewhat of an impact,Somewhat of an impact,Somewhat of an impact,A significant impact,100,80,80,20,40,100,40,80,100,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,NO TO: This is too expensive for me,NO TO: This is not available for me to do,This is not convenient for me to do,I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,NO TO: I don’t know much about this/it’s confusing,NO TO: I don’t think my individual actions for this will make a difference,NO TO: I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO: This is not available for me to do,NO TO: This is not convenient for me to do,NO TO: I’m not interested in making this change,NO TO: Other,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,#NULL!,#NULL!,,NO TO: Toronto.ca website,City of Toronto events,Twitter,Facebook,Instagram,NO TO: City of Toronto e-newsletters / email,NO TO: Councillor communications,"Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,"Multi-unit residence (apartment, condominium building)",#NULL!,,82.5,1,65.05,0,Own,1,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",#NULL!,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Post graduate/professional school,Prefer not to answer,English (USA)
17,10/10/2018 17:44,10,0.806383000000,m1w,Ward 43,Scarborough-Agincourt,Woman,1972,46,100,Extremely concerned,100,yes,DK/NA,#NULL!,#NULL!,#NULL!,#NULL!,Yes,NO TO: Municipal (City),Provincial,Federal,NO TO: None of the above,100,Yes,50,75,75,75,75,50,A significant impact,Not much of an impact,Not much of an impact,A significant impact,A significant impact,No impact,Somewhat of an impact,80,80,80,80,80,80,80,80,80,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating,#NULL!,#NULL!,,NO TO: Toronto.ca website,NO TO: City of Toronto events,NO TO: Twitter,NO TO: Facebook,NO TO: Instagram,City of Toronto e-newsletters / email,NO TO: Councillor communications,"NO TO: Advertising campaigns (e.g., print, radio, online or television ads, transit ads, street signage, etc.)","NO TO: Brochures, pamphlets",NO TO: Other (please specify),NO TO: Not interested in receiving information,#NULL!,,Townhouse/row house,#NULL!,,95,1,70.65,1,Own,4,"NO TO: How many people, including yourself, live in your household?: Prefer not to say",2,NO TO: How many children under 18 are currently living in your household?: Prefer not to say.,Post graduate/professional school,"More than $150,000",English (USA)
